  ID,Schenk_Jackson_2002,Reference,location,Latitude,Longitude,Elevation,MaxDiameter,Measurement,Totmass,Sampdepth,Sampmax,Texture,Depth_org_horizon,Broadleaved_trees,Needleleaved_trees,Shrubs,Semi_shrubs,Grasses,Forbs,Succulents,Tree_phenology,Anthropogenic,Wetland,Vegetation,UMD_cover,PET,MAP,Rainfall_season,D50,D95,D50_extrapolated,D95_extrapolated
HW04d,NO,Metsävainio 1931,Central Finland,64.02,64.1,-999,Total,mass,1.56,0.6,yes,organic,60,0,0,0,0,1,1,0,-999,N,Y,Grassland,10,531,487,summer maximum,0.06,0.22,0.06,0.24
HW04e,NO,Metsävainio 1931,Central Finland,64.02,64.1,-999,Total,mass,4.01,0.6,yes,organic,60,0,0,0,0,1,1,0,-999,N,Y,Grassland,10,531,487,summer maximum,0.07,0.14,0.07,0.14
HW05a,NO,Bernard & Fiala 1986,"New York, USA",42.5,-76.42,-999,Total,mass,0.59,0.2,no,-999,-999,0,0,0,0,1,0,0,-999,N,Y,Grassland,10,765,900,summer maximum,0.06,0.18,0.09,0.33
HW05b,NO,Bernard & Fiala 1986,"New York, USA",42.5,-76.42,-999,Total,mass,0.26,0.2,no,-999,-999,0,0,0,0,1,0,0,-999,N,Y,Grassland,10,765,900,summer maximum,0.09,0.18,0.11,0.3
HW05c,NO,Bernard & Fiala 1986,"New York, USA",42.5,-76.42,-999,Total,mass,0.5,0.2,no,-999,-999,0,0,0,0,1,0,0,-999,N,Y,Grassland,10,765,900,summer maximum,0.02,0.06,0.02,0.06
HW06a,NO,Linkola & Tiirikka 1936,"Karelia, Russia",61.6,30.68,-999,Total,mass,1.36,1.2,yes,coarse,20,0,0,0,0,1,1,0,-999,N,Y,Grassland,10,530,570,summer maximum,0.03,0.29,0.03,0.32
HW06b,NO,Linkola & Tiirikka 1936,"Karelia, Russia",61.6,30.68,-999,Total,mass,1.43,1.2,yes,coarse,17,0,0,0,0,1,1,0,-999,N,Y,Grassland,10,530,570,summer maximum,0.04,0.35,0.04,0.39
HW06c,NO,Linkola & Tiirikka 1936,"Karelia, Russia",61.6,30.68,-999,Total,mass,1.76,1.2,yes,coarse,15,0,0,0,0,1,1,0,-999,N,Y,Grassland,10,530,570,summer maximum,0.05,0.23,0.05,0.23
HW07a,NO,Fiala 1990,Czech Republic,49.67,16,~650,Total,mass,0.67,0.3,no,-999,-999,0,0,0,0,1,0,0,-999,N,Y,Grassland,10,724,775,summer maximum,0.1,0.27,0.17,0.54
HW07b,NO,Fiala 1990,Czech Republic,49.67,16,~650,Total,mass,0.9,0.3,no,-999,-999,0,0,0,0,1,0,0,-999,N,Y,Grassland,10,724,775,summer maximum,0.03,0.16,0.03,0.21
HW07c,NO,Fiala 1990,Czech Republic,49.67,16,~650,Total,mass,1.41,0.3,no,-999,-999,0,0,0,0,1,0,0,-999,N,Y,Grassland,10,724,775,summer maximum,0.05,0.16,0.05,0.18
HW07d,NO,Fiala 1990,Czech Republic,49.67,16,~650,Total,mass,1.54,0.3,no,-999,-999,0,0,0,0,1,1,0,-999,N,Y,Grassland,10,724,775,summer maximum,0.04,0.15,0.04,0.17
JCG,NO,Jackson et al. 2002,"Colorado, USA",40.8,-104.8,-999,Total,mass,12.21,4.27,no,medium,0,0,0,0,0,1,0,0,-999,N,N,Grassland,10,1250,332,summer maximum,0.05,0.56,0.05,0.56
JCS,NO,Jackson et al. 2002,"Colorado, USA",40.8,-104.8,-999,Total,mass,1.46,4.27,no,medium,0,0,0,1,0,0,0,0,-999,N,N,open shrubland,7,1250,332,summer maximum,0.7,4.04,0.66,2.94
JEG,NO,Jackson et al. 2002,"Texas, USA",31.8,-95.6,-999,Total,mass,9.07,6.1,no,medium,0,0,0,0,0,1,0,0,-999,N,N,Grassland,10,1340,1100,"non-tropical,",0.13,0.64,0.13,0.64
JES,NO,Jackson et al. 2002,"Texas, USA",31.8,-95.6,-999,Total,mass,4.35,6.1,no,medium,0,0,0,1,0,0,0,0,-999,N,N,open shrubland,7,1340,1100,"non-tropical,",0.17,2.48,0.17,2.62
JJG,NO,Jackson et al. 2002,"New Mexico, USA",32.5,-106.8,-999,Total,mass,1.74,10.06,yes,medium,0,0,0,0,0,1,0,0,-999,N,N,Grassland,10,1420,264,summer maximum,0.1,1.13,0.1,1.13
