time,longitude,latitude,snr_[MJ/m2],tp_[mm],ro_[m],sm_[m3/m3],le_[W/m2]
2014-06-13,15.875,63.625,9.507857,1.2326512,3.158647e-05,0.3876555,49.42678329017427
2014-06-14,15.875,63.625,15.651418,1.6653345e-13,3.1145577e-05,0.38288778,49.817744228574966
2014-06-15,15.875,63.625,9.729891,0.2589967,3.0947132e-05,0.37514773,50.208705166975655
2014-06-16,15.875,63.625,13.537896,0.8726918,3.054983e-05,0.3748558,50.59966610537635
2014-06-17,15.875,63.625,5.1037197,3.0142038,3.0554398e-05,0.37591562,50.99062704377704
2014-06-18,15.875,63.625,9.828903,0.124105,3.0053723e-05,0.37863952,51.381587982177734
2014-06-19,15.875,63.625,12.234423,3.1886714,3.0098146e-05,0.3806979,51.69730495523523
2014-06-20,15.875,63.625,14.292853,1.0009127,2.9541015e-05,0.38013396,52.01302192829273
2014-06-21,15.875,63.625,8.9668255,6.76679,3.0407851e-05,0.38294357,52.328738901350235
2014-06-22,15.875,63.625,14.178696,3.5569668,2.9546001e-05,0.39072794,52.64445587440773
2014-06-23,15.875,63.625,13.909116,0.99437565,2.8714032e-05,0.38559335,52.96017284746523
2014-06-24,15.875,63.625,12.207797,1.7175429,2.8486531e-05,0.382759,53.27588982052273
2014-06-25,15.875,63.625,12.218289,3.576125,2.8764685e-05,0.3830849,53.59160679358023
2014-06-26,15.875,63.625,10.906558,10.891538,3.0060794e-05,0.39123306,53.90732376663773
2014-06-27,15.875,63.625,14.160424,1.0847633,2.7732194e-05,0.39077395,55.19117056219666
2014-06-28,15.875,63.625,14.368525,0.4695726,2.7341952e-05,0.38327366,56.47501735775559
2014-06-29,15.875,63.625,8.846969,0.1240445,2.7089538e-05,0.37539223,57.75886415331452
2014-06-30,15.875,63.625,12.884539,5.130861,2.7894523e-05,0.38041338,59.04271094887345
2014-07-01,15.875,63.625,15.630888,0.91489875,2.6871758e-05,0.3810301,60.32655774443238
2014-07-02,15.875,63.625,15.157139,1.2140417,2.6540794e-05,0.3730015,61.61040453999131
2014-07-03,15.875,63.625,11.209664,0.91408354,2.622714e-05,0.3667981,62.89425133555024
2014-07-04,15.875,63.625,15.429719,0.0,2.6020925e-05,0.36292157,64.17809813110917
2014-07-05,15.875,63.625,12.784568,0.062171698,2.588243e-05,0.3554189,63.512259749350726
2014-07-06,15.875,63.625,13.733572,0.0,2.5607476e-05,0.34995407,62.846421367592285
2014-07-07,15.875,63.625,16.128672,0.0,2.5183845e-05,0.3455809,62.18058298583384
2014-07-08,15.875,63.625,13.084746,2.2725134,2.5144638e-05,0.34404653,61.514744604075396
